2025-10-29 02:21:43 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:21:43 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:21:43 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:21:43 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:21:44 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:21:44 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:21:45 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:21:45 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:21:45 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:21:45 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:21:46 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:21:46 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:22:23 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:23 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-10-29 02:22:23 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:23 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-10-29 02:22:24 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:24 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:22:24 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:22:24 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:22:24 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:36 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:36 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-10-29 02:22:36 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:36 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-10-29 02:22:36 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:36 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:22:36 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:22:36 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:22:36 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:38 | INFO     | BasicBot | get_account_balance | Fetching account balance...
2025-10-29 02:22:38 | ERROR    | BasicBot | get_account_balance | Failed to get balance: APIError(code=-2015): Invalid API-key, IP, or permissions for action
2025-10-29 02:22:47 | INFO     | BasicBot | place_limit_order | ================================================================================
2025-10-29 02:22:47 | INFO     | BasicBot | place_limit_order | PLACING LIMIT ORDER: BUY 1.0 BTCUSDT @ 1.0
2025-10-29 02:22:47 | INFO     | BasicBot | place_limit_order | ================================================================================
2025-10-29 02:22:47 | INFO     | BasicBot | place_limit_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=LIMIT, quantity=1.0, price=1.0, timeInForce=GTC)
2025-10-29 02:22:47 | ERROR    | BasicBot | place_limit_order | ================================================================================
2025-10-29 02:22:47 | ERROR    | BasicBot | place_limit_order | BINANCE API ERROR
2025-10-29 02:22:47 | ERROR    | BasicBot | place_limit_order | Error Code: -2015
2025-10-29 02:22:47 | ERROR    | BasicBot | place_limit_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:22:47 | ERROR    | BasicBot | place_limit_order | ================================================================================
2025-10-29 02:22:55 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:55 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-10-29 02:22:55 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:55 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-10-29 02:22:55 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:22:55 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:22:55 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:22:55 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:22:55 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:23:03 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:23:03 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-10-29 02:23:03 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:23:03 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-10-29 02:23:04 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:23:04 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:23:04 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:23:04 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:23:04 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:30:05 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:30:05 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:30:05 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:30:05 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:30:06 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:30:06 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:30:07 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:30:07 | INFO     | BasicBot | _setup_logging | BasicBot initialized
2025-10-29 02:30:07 | INFO     | BasicBot | _setup_logging | Testnet mode: True
2025-10-29 02:30:07 | INFO     | BasicBot | _setup_logging | ================================================================================
2025-10-29 02:30:07 | INFO     | BasicBot | __init__ | Using Binance Futures TESTNET: https://testnet.binancefuture.com
2025-10-29 02:30:07 | INFO     | BasicBot | _test_connection | Successfully connected to Binance Futures API
2025-10-29 02:30:35 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:30:35 | INFO     | BasicBot | place_market_order | PLACING MARKET ORDER: BUY 0.001 BTCUSDT
2025-10-29 02:30:35 | INFO     | BasicBot | place_market_order | ================================================================================
2025-10-29 02:30:35 | INFO     | BasicBot | place_market_order | API Request: futures_create_order(symbol=BTCUSDT, side=BUY, type=MARKET, quantity=0.001)
2025-10-29 02:30:37 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:30:37 | ERROR    | BasicBot | place_market_order | BINANCE API ERROR
2025-10-29 02:30:37 | ERROR    | BasicBot | place_market_order | Error Code: -2015
2025-10-29 02:30:37 | ERROR    | BasicBot | place_market_order | Error Message: Invalid API-key, IP, or permissions for action
2025-10-29 02:30:37 | ERROR    | BasicBot | place_market_order | ================================================================================
2025-10-29 02:31:09 | INFO     | BasicBot | place_limit_order | ================================================================================
